한글,영어,일어
인공변환,artificial transformation,人工?換
석면,asbestos,石綿
상승기류,ascending air current,上昇?流
가로세로 비,aspect ratio, アスペクト比
구면 아닌,aspheric,
비구면,aspheric surface, 非球面
구면아닌 에돌이발,aspherical diffraction grating, 非球面回折格子
비구면 렌즈,aspherical lens, 非球面レンズ
기음,aspiration, 氣 音
기체흡수기,aspirator, アスピレ?タ?
아스만통기건습계,Assmann aspiration psychrometer, アスマン通風乾濕計
버금 라게르 다항식,associated Laguerre polynomial,
버금 르장드르 함수,associated Legendre function, ルジャンドル陪關數
연관생성,associated production,
연관생성과정,associated production process, 隨伴生成反應
"연관생김, 연관창생",associative creation,
결합성 분리,associative detachment, 結合性脫離
결합성 이온화,associative ionization, 結合性電離 / 結合性イオン化
결합법칙,associative law,
가정,assumption,
무정위,astatic,無定位
"난시, 비점수차",astigmatism, 非點收差 / 亂視
애스턴 어둠부분,Aston dark space, アストン暗部
애스턴의 질량분석기,Aston's mass spectrograph,
애스트론,astron, アストロン
"천문대, 천문관측소",astronomical observatory,
천체 분광학,astronomical spectroscopy, 天體分光學
천체망원경,astronomical telescope,天?望遠鏡
천문시,astronomical time, 天文時
천문 단위,astronomical unit, 天文單位
천문학,astronomy, 天文學
천체플라즈마,astrophysical plasmas, 天體プラズマ
천체물리학,astrophysics, 天體物理學(宇宙物理學)
비대칭 돌개모형,asymmetric rotor model, 非對稱回轉子模型
비대칭 팽이,asymmetric top, 非對稱こま
비대칭 팽이 분자,asymmetric top molecule, 非對稱こま〔形]分子
비대칭(성),asymmetry,非??性
비대칭성 맺음변수,asymmetry parameter, 非對稱性バラメ?タ?
"점근거동, 점근형태",asymptotic behavior,
점근완전성,asymptotic completeness, 漸近的完全性
점근조건,asymptotic condition, 漸近?件
점근 평가법,asymptotic evaluation method, 漸近評價法
점근 불음,asymptotic expansion, 潮近展開
점근마당,asymptotic field, 漸近場
"점근적 자유성, 점근자유",asymptotic freedom, 漸近的自由性
점근 양자수,asymptotic quantum number,
점근급수,asymptotic series, 潮近級數
"점근 풀이, 점근 해",asymptotic solution, 漸近解
"기압<<단위>>, 대기",atmosphere, (1)大 氣 (2)雰圍氣
기압계,atmospheric barometer,
대기전기(학),atmospheric electricity,空中電?
대기 이온,atmospheric ion, 大氣イオン
대기 내비침,atmospheric radiation, 大氣放射
대기 꺾임,atmospheric refraction, 大氣差
대기파,atmospheric wave, 大氣波動
대기전기,atmospherics, 空 電
원자,atom, 原 子
원자 파괴장치,atom smashing machine,
원자의 (에너지)상태,atomic,
원자 흡수,atomic absorption,
원자 흡수선,atomic absorption line,
원자 흡광 분석,atomic absorption spectrochemical analysis, 原子吸光分析
원자 비대칭,atomic asymmetry,
원자 살다발 자기 껴울림,Atomic beam magnetic resonance, 原子線磁氣共鳴
원자살다발 흩뜨림,Atomic beam scattering, 原子線散亂
원자시계,atomic clock, 原子時計
원자충돌,atomic collision, 原子衝突
"원자자리표, 원자좌표",atomic coordinate,
원자핵심,atomic core, 原子心
원자핵심 극갈림,atomic core polarization, 原子心分極
원자 결정,atomic crystal,
원자 정도(의) 크기,atomic dimension,
원자쌍극(자),atomic dipole,
원자붕괴,atomic disintegration,
원자내 전자,atomic electron,
원자의 전자 껍질,atomic electron shell,
원자의 에너지,atomic energy, 原子力
원자(의) 에너지 준위,atomic energy level,
원자의 들뜸,atomic excitation,
원자 형광,atomic fluorescence,
원자형광분석,atomic fluorescence analysis, 原子螢光分析
원자 형광 분석법,atomic fluorescence spectrometry,
원자 형광 분광학,atomic fluorescence spectroscopy,
"원자 모양인자, 원자 형태인자",atomic form factor, (1)原子形狀因子 (2)原子構造因子
원소 구성비,atomic fraction,
원자 떨기수 표준,atomic frequency standard, 原子周波數標準
원자기체,atomic gas,
원자의 지 인자,atomic g-factor,原子ｇ因子
원자열,atomic heat, 原子熱
원자자기,atomic magnetism,
원자질량,atomic mass, 原子質量
원자질량공식,atomic mass formula, 原子質量公式
원자질량단위,atomic mass unit,
원자모형,atomic model, 原子模型
원자 핵,atomic nucleus,
원자번호,atomic number, 原子番號
원자 궤도(함수),atomic orbital, 原子軌道〔關數〕
원자 맺음변수,atomic parameter,
원자물리학,atomic physics, 原子物理學
"원자극갈림, 원자극나뉨",atomic polarization, 原子分極
원자반지름,atomic radius, 原子半徑
원자반응,atomic reaction, 原子反應
"원자 산란, 원자 흩뜨림",atomic scattering,
"원자 산란인자, 원자 흩뜨림인자",atomic scattering factor, 原子散亂因子
원자껍질,atomic shell,
원자 빛띠,atomic spectrum, 原子スペクトル
원자의 안정성,atomic stability,
원자 구조,atomic structure, 原子構造
원자구조 인자,atomic structure factor, 原子構造因子
원자기호,atomic symbol,
"원자론, 원자설",atomic theory,
원자 시간,atomic time, 原子時
원자단위,atomic unit,原子?位
원자떨기,atomic vibration,
"몰원자부피, 원자부피",atomic volume, 原子體積(原子容)
원자량,atomic weight, 原子量
원자론,atomism, 原子論
원자구조학,atomistics, アトミスティ?ク
분무기,atomizer,
분무,atomizing, 噴 霧
부착,attachment, 付 着
잦아든 전반사,attenuated total reflection, 減衰全反射
"감쇠, 잦아듬",attenuation, 減 衰
잦아듬 상수,attenuation constant, 減衰定數
잦아듬 찌그러짐,attenuation distortion, 減衰ひずみ
"잦아듬 거리, 감쇠거리",attenuation length, 減衰距離
"감쇠기, 줄이개",attenuator, 減衰器
"끌림, 당김",attraction, 引 力
"끌힘, 인력",attractive force, 引 力
끌개,attractor,アトラクタ?
"가청음, 들림소리",audible sound, 可聽音
"들림 떨기수, 가청진동수, 들림진동수",audio frequency,
"가청진동수 증폭기, 들림떨기수 증폭기",audio frequency amplifier,
"가청진동수 발진기, 들림떨기수 떨개",audio frequency oscillator,
"가청신호 발생기, 들림신호 발생기",audio generator,
"소리신호, 음성신호",audio signal,
들림떨기수변압기,audio-frequency transformer, 低周波變成器
"소리재개, 소리측정계",audiometer,
청력측정,audiometry, 聽力測定
소리 위치잡기,auditory lateralization, 音像定位
오제효과,Auger effect, オ?ジェ ?果
오제 전자,Auger electron, オ?ジェ電子
오제전자분광법,Auger electron spectroscopy, オ?ジェ電子分光法
구강차폐,aural masking, マスキング
"극광, 오로라",aurora, オ?ロラ
"자동줄맞춤, 자동조준",autocollimation, オ?トコリメ?ション
"자동 줄맞추개, 자동시준기, 자동조준기",autocollimator, オ?トコリメ?タ?
자체상관관계,autocorrelation,
자체상관함수,autocorrelation function, 自己相關關數
자동이온화,autoionization, 自動電離(自己電離)
자동이온화 상태,autoionizing state, 自動電離狀態
자동제어,automatic control, 自動制御
자동에돌이재개,automatic diffractometer, 自動回折計
자동떨기수제어,automatic frequency control, 自動周波數制御
자동이득제어,automatic gain control, 自動利得制御
자동 온도조절장치,automatic thermostat,
자동틀,automaton, オ?トマトン
"스스로본뜨기, 자동본뜨기",automorphism,
"스스로계, 자율계",autonomous system,
자체변압기,auto-transformer, 單卷變壓器
보조조건,auxiliary condition,補助?件
보조마당,auxiliary field,
가용 에너지,available energy, エクセルギ?
사태,avalanche,電子雪崩
사태계수기,avalanche counter, アバランシカウンタ?
사태 다이오드,avalanche diode, アバランシダイオ?ド
사태 효과,avalanche effect, 〔電子]雪崩 ?果
평균밀도,average density,平均密度
평균 분자 무게,average molecular weight, 平均分子量
평균 핵자간거리,average nucleon distance, 平均核子間隔
평균 퍼텐셜,average potential, 平均ポテンシャル
평균일률,average power, 平均電力
평균속력,average speed,
AVF 사이클로트론<<방위각에 따라 변하는 마당 사이클로트론>>,AVF cyclotron,
아보가드로 상수,Avogadro constant, アボガドロ定數
아보가드로(의) 수,Avogadro('s) number,アボガドロの?
아보가드로의 가설,Avogadro's hypothesis,アボガドロの??
가중 읍압,A-weighted sound pressure level, 騷音しベル
"굴대(의), 축방향, 축의",axial,
축방향 흐름펌프,axial flow pump, 軸流ポンプ
"굴대비, 축비, 축비율",axial ratio, 軸 率 / 軸比
축성벡터,axial vector, 軸性ベクトル / 擬ベクトル
축성벡터 흐름,axial vector current, 軸性ベクトルカレント
축성벡터 중간자,axial vector meson, 軸性ベクトル中間子
공리,axiom,公理
공리적마당이론,axiomatic field theory, 公理論的場の理論
"굴대, 축",axis,軸
렌즈축,axis of lens,
거울축,axis of mirror,
세로축,axis of ordinate,?軸
세차축,axis of precession,
"공전축, 돌림축",axis of revolution,
"돌기축, 자전축",axis of rotation,
"돌기 뒤집힘축, 회전반전축",axis of rotatory inversion, 回反[對稱]軸
"돌기되비침축, 돌기반사축",axis of rotatory reflection, 回映軸
대칭축,axis of symmetry,
"방위편광계, 극갈림재개",azimuth polarimeter, 旋光計
방위 돌개,azimuth rotator, 旋光子
방위양자수,azimuthal quantum number, 方位量子數
방위각 대칭(성),azimuthal symmetry,
비 전지,B battery,B電池
비에이 게이지,BA gauge,
바비네 보정기,Babinet compensator, バビネの補償板
바비네 원리,Babinet principle, バビネの原理
바비네의 원리,Babinet's principle,バビネの原理
바비네-솔레일 보정기,Babinet-Soleil compensator, バビネ·ソレイユの補償板
역확산,back diffusion, 逆擴散
"뒷쪽되비침법, 뒷쪽반사법",back reflection method,
역저항,back resistance,
"뒷쪽산란, 뒷쪽흩뜨림",back scattering,
"거꿀 흐름, 역류",back streaming, 逆 流
뒤휘기,backbending, バックベンディング
등뼈굽은선,backbone curve,
"바탕, 배경",background, バンクグラウンド
바탕보정,background correction,
바탕 잡음,background noise, 暗騷音
"바탕흩뜨림, 배경산란",background scattering,
뒷받침 압력,backing pressure, 背 壓
지원 진공 펌프,backing vacuum pump, 補助ポンプ
"역회전, 반동, 반발",backlash, バックラッシ
뒤흩뜨림,backscattering, 後方散亂
역다이오드,backward diode, 逆ダイオ?ド
"역반응, 거꿀반응",backward reaction,
조절판,baffle, バッフル(じゃま板)
주머니모형,bag model, バッグ模型
빵반죽변환,baker's transformation,
굽기,baking, ベ?キング(加熱脫ガス)
"균형, 나머지, 비김, 저울, 천칭, 평형",balance, (1)てんびん (2)平 衡
균형거르개,balanced filter, バランスフィルタ?
평형전선,balanced type cable, 平衡型ケ?ブル
평형불평형변환기,balance-unbalance converter, 平衡不平衡變換器
탄도곡선,ballistic curve, 彈道曲線
"충격검류계, 탄동검류계",ballistic galvanometer, 衝擊檢流計
탄도 방식,ballistic mode, バリスティックモ-ド
"충격흔들이, 탄동흔들이",ballistic pendulum,
탄도학,ballistics, 彈道學
발머계열,Balmer series, バルマ?系列
바나하 공간,Banach space, バナッハ空間
"바나나 궤도, 바나나 자리길",banana orbit,
바나나 알갱이,banana particle, バナナ粒子
띠,band, (1)バンド(帶) (2)帶 城
띠 넓어짐,band broadening,
띠교차,band crossing, バンド交差
"띠끝, 띠끝머리",band edge,バンド端
"띠간격, 띠틈",band gap, バンドギャップ
군,band group, 帶 群
띠머리,band head, バンドヘッド (帶 頭)
띠 야안-텔러 효과,band Jahn-Teller effect, バンドヤ?ン·テラ?效?果
띠모형,band model, バンド模型
띠 잡음,band noise, バンドノイズ
띠원점,band origin, バンドオリジン (バンドの原點)
띠 계열,band series,
띠 빛띠,band spectrum, バンドスペクトル(帶スペクトル)
띠세기,band strength, バンド强度
띠 구조,band structure, バンド構造
띠계,band system, バンド系(帶 系)
띠이론,band theory,
"띠너비, 띠폭",band width,バンド幅
"띠지나감, 띠통과",bandpass, 帶城通過
띠통과 거르개,band-pass filter, 帶城[通過]フィルタ?
